# Файл точных запросов для поиска приборов учета электрической энергии
# Формат: query,category,priority
# category: electric (электроэнергия), gas (газ), water (вода), heat (тепло), other (прочее)
# priority: high (высокий), medium (средний), low (низкий)

# ===== СЧЕТЧИКИ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИИ (ПРИБОРЫ УЧЕТА) =====
# Меркурий (Инкотекс) - основные модели
Счетчик электрической энергии Меркурий 201,electric,high
Счетчик электрической энергии Меркурий 200,electric,high
Счетчик электрической энергии Меркурий 202,electric,high
Счетчик электрической энергии Меркурий 203,electric,high
Счетчик электрической энергии Меркурий 204,electric,high
Счетчик электрической энергии Меркурий 205,electric,high
Счетчик электрической энергии Меркурий 206,electric,high
Счетчик электрической энергии Меркурий 207,electric,high
Счетчик электрической энергии Меркурий 208,electric,high
Счетчик электрической энергии Меркурий 209,electric,high
Счетчик электрической энергии Меркурий 230,electric,high
Счетчик электрической энергии Меркурий 231,electric,high
Счетчик электрической энергии Меркурий 233,electric,high
Счетчик электрической энергии Меркурий 234,electric,high
Счетчик электрической энергии Меркурий 235,electric,high
Счетчик электрической энергии Меркурий 236,electric,high

# Нева (Тайпит) - основные модели
Счетчик электрической энергии Нева 101,electric,high
Счетчик электрической энергии Нева 102,electric,high
Счетчик электрической энергии Нева 103,electric,high
Счетчик электрической энергии Нева 104,electric,high
Счетчик электрической энергии Нева 105,electric,high
Счетчик электрической энергии Нева 106,electric,high
Счетчик электрической энергии Нева 301,electric,medium
Счетчик электрической энергии Нева 303,electric,medium
Счетчик электрической энергии Нева 306,electric,medium
Счетчик электрической энергии Нева 307,electric,medium

# Энергомера - основные модели
Счетчик электрической энергии Энергомера СЕ 101,electric,high
Счетчик электрической энергии Энергомера СЕ 102,electric,high
Счетчик электрической энергии Энергомера СЕ 201,electric,medium
Счетчик электрической энергии Энергомера СЕ 301,electric,medium
Счетчик электрической энергии Энергомера СЕ 303,electric,medium
Счетчик электрической энергии Энергомера СЕ 306,electric,medium
Счетчик электрической энергии Энергомера СЕ 308,electric,medium

# Матрица
Счетчик электрической энергии Матрица NP 515,electric,medium
Счетчик электрической энергии Матрица NP 545,electric,medium
Счетчик электрической энергии Матрица NP 715,electric,medium

# ABB
Счетчик электрической энергии ABB B21,electric,low
Счетчик электрической энергии ABB B23,electric,low

# Schneider Electric
Счетчик электрической энергии Schneider Electric iEM2000,electric,low
Счетчик электрической энергии Schneider Electric Acti9,electric,low

# Альфа
Счетчик электрической энергии Альфа 1140,electric,medium
Счетчик электрической энергии Альфа 1200,electric,medium
Счетчик электрической энергии Альфа 1800,electric,medium

# Милур
Счетчик электрической энергии Милур 107,electric,medium
Счетчик электрической энергии Милур 307,electric,medium

# ПСЧ
Счетчик электрической энергии ПСЧ-3ТА,electric,medium
Счетчик электрической энергии ПСЧ-4ТМ,electric,medium

# СЭТ
Счетчик электрической энергии СЭТ-4ТМ,electric,medium

# ЦЭ
Счетчик электрической энергии ЦЭ6803,electric,medium
Счетчик электрической энергии ЦЭ6850,electric,medium

# Гранд
Счетчик электрической энергии Гранд-1,electric,medium

# Квант
Счетчик электрической энергии Квант 1М,electric,medium

# ===== ОБЩИЕ ЗАПРОСЫ ДЛЯ ЭЛЕКТРОСЧЕТЧИКОВ =====
Счетчик электрической энергии,electric,high
Счетчик электроэнергии,electric,high
Счетчик активной электроэнергии,electric,high
Счетчик реактивной электроэнергии,electric,high
Счетчик однофазный электрический,electric,high
Счетчик трехфазный электрический,electric,high
Счетчик статический электрический,electric,high
Счетчик индукционный электрический,electric,medium
Электросчетчик,electric,high
Прибор учета электрической энергии,electric,high

# ===== ТРАНСФОРМАТОРЫ ТОКА (для измерения электроэнергии) =====
Трансформатор тока измерительный,electric,medium
Трансформатор тока 0.4 кВ,electric,medium

# ===== ПРЕОБРАЗОВАТЕЛИ ДЛЯ ЭЛЕКТРОЭНЕРГИИ =====
Преобразователь измерительный электрической энергии,electric,medium
